연도별,서귀포시 인구수,65세이상 인구수 ,14세이하 인구수,고령화비율,노령화지수,데이터기준일자
2012,154057,25826,22861,16.76,112.97,2021-08-31
2013,155641,26936,22393,17.31,120.29,2021-08-31
2014,158512,27877,22058,17.59,126.38,2021-08-31
2015,164519,28979,22362,17.61,129.59,2021-08-31
2016,170932,30030,23044,17.57,130.32,2021-08-31
2017,173302,30545,23300,17.63,131.09,2021-08-31
2018,181245,32394,24013,17.87,134.9,2021-08-31
2019,181584,33707,23707,18.56,142.18,2021-08-31
2020,181059,34456,23579,19.03,146.13,2021-08-31
2021,183015,36353,23759,19.86,141.12,2021-08-31
